metric,labels,value,A,B,C
postgres_table_size,table=compliance_run_results,0.00000000,a,b,c
postgres_table_size,table=compliance_strings,0.00000000,a,b,c
postgres_table_size,table=configs,0.00000000,a,b,c
postgres_table_size,table=declarative_config_healths,6.00000000,a,b,c
postgres_table_size,table=delegated_registry_configs,0.00000000,a,b,c
postgres_table_size,table=deployments,51.00000000,a,b,c
postgres_table_size,table=deployments_containers,73.00000000,a,b,c
postgres_table_size,table=deployments_containers_envs,511.00000000,a,b,c
postgres_table_size,table=deployments_containers_secrets,30.00000000,a,b,c
postgres_table_size,table=deployments_containers_volumes,170.00000000,a,b,c
postgres_table_size,table=deployments_ports,44.00000000,a,b,c
postgres_table_size,table=deployments_ports_exposure_infos,32.00000000,a,b,c
postgres_table_size,table=discovered_clusters,0.00000000,a,b,c
postgres_table_size,table=external_backups,0.00000000,a,b,c
postgres_table_size,table=groups,0.00000000,a,b,c
postgres_table_size,table=hashes,1.00000000,a,b,c
postgres_table_size,table=image_component_cve_edges,10704.00000000,a,b,c
postgres_table_size,table=image_component_edges,3996.00000000,a,b,c
postgres_table_size,table=image_components,2807.00000000,a,b,c
postgres_table_size,table=image_cve_edges,10518.00000000,a,b,c
postgres_table_size,table=image_cves,6391.00000000,a,b,c
postgres_table_size,table=image_integrations,13.00000000,a,b,c
postgres_table_size,table=images,64.00000000,a,b,c
postgres_table_size,table=images_layers,1251.00000000,a,b,c
postgres_table_size,table=installation_infos,0.00000000,a,b,c
postgres_table_size,table=integration_healths,15.00000000,a,b,c
postgres_table_size,table=k8s_roles,140.00000000,a,b,c
postgres_table_size,table=listening_endpoints,79.00000000,a,b,c
postgres_table_size,table=log_imbues,0.00000000,a,b,c
postgres_table_size,table=namespaces,0.00000000,a,b,c
postgres_table_size,table=network_baselines,49.00000000,a,b,c
postgres_table_size,table=network_entities,57483.00000000,a,b,c
postgres_table_size,table=network_flows_v2,159.00000000,a,b,c
postgres_table_size,table=network_graph_configs,0.00000000,a,b,c
postgres_table_size,table=networkpolicies,114.00000000,a,b,c
postgres_table_size,table=networkpoliciesundodeployments,0.00000000,a,b,c
postgres_table_size,table=networkpolicyapplicationundorecords,0.00000000,a,b,c
postgres_table_size,table=node_component_edges,12.00000000,a,b,c
postgres_table_size,table=node_components,4.00000000,a,b,c
postgres_table_size,table=node_components_cves_edges,0.00000000,a,b,c
postgres_table_size,table=node_cves,0.00000000,a,b,c
postgres_table_size,table=nodes,3.00000000,a,b,c
postgres_table_size,table=nodes_taints,0.00000000,a,b,c
postgres_table_size,table=notification_schedules,0.00000000,a,b,c
postgres_table_size,table=notifier_enc_configs,0.00000000,a,b,c
postgres_table_size,table=notifiers,0.00000000,a,b,c
postgres_table_size,table=permission_sets,12.00000000,a,b,c
postgres_table_size,table=pods,51.00000000,a,b,c
postgres_table_size,table=pods_live_instances,82.00000000,a,b,c
postgres_table_size,table=policies,86.00000000,a,b,c
postgres_table_size,table=policy_categories,0.00000000,a,b,c
postgres_table_size,table=policy_category_edges,109.00000000,a,b,c
postgres_table_size,table=process_baseline_results,50.00000000,a,b,c
postgres_table_size,table=process_baselines,41.00000000,a,b,c
postgres_table_size,table=process_indicators,292.00000000,a,b,c
postgres_table_size,table=report_configurations,0.00000000,a,b,c
postgres_table_size,table=report_configurations_notifiers,0.00000000,a,b,c
postgres_table_size,table=report_snapshots,0.00000000,a,b,c
postgres_table_size,table=risks,1263.00000000,a,b,c
postgres_table_size,table=role_bindings,131.00000000,a,b,c
postgres_table_size,table=role_bindings_subjects,135.00000000,a,b,c
postgres_table_size,table=roles,10.00000000,a,b,c
postgres_table_size,table=secrets,27.00000000,a,b,c
postgres_table_size,table=secrets_files,43.00000000,a,b,c
postgres_table_size,table=secrets_files_registries,7.00000000,a,b,c
postgres_table_size,table=secured_units,0.00000000,a,b,c
postgres_table_size,table=sensor_upgrade_configs,0.00000000,a,b,c
postgres_table_size,table=service_accounts,65.00000000,a,b,c
postgres_table_size,table=service_identities,0.00000000,a,b,c
postgres_table_size,table=signature_integrations,0.00000000,a,b,c
postgres_table_size,table=simple_access_scopes,0.00000000,a,b,c
postgres_table_size,table=system_infos,0.00000000,a,b,c
postgres_table_size,table=versions,0.00000000,a,b,c
postgres_table_size,table=vulnerability_requests,0.00000000,a,b,c
postgres_table_size,table=vulnerability_requests_approvers,0.00000000,a,b,c
postgres_table_size,table=vulnerability_requests_approvers_v2,0.00000000,a,b,c
postgres_table_size,table=vulnerability_requests_comments,0.00000000,a,b,c
postgres_table_size,table=watched_images,0.00000000,a,b,c
postgres_table_toast_bytes,table=active_components,8192.00000000,a,b,c
postgres_table_toast_bytes,table=active_components_active_contexts_slices,8192.00000000,a,b,c
postgres_table_toast_bytes,table=administration_events,8192.00000000,a,b,c
postgres_table_toast_bytes,table=alerts,2883584.00000000,a,b,c
postgres_table_toast_bytes,table=api_tokens,8192.00000000,a,b,c
postgres_table_toast_bytes,table=auth_machine_to_machine_configs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=auth_machine_to_machine_configs_mappings,8192.00000000,a,b,c
postgres_table_toast_bytes,table=auth_providers,8192.00000000,a,b,c
postgres_table_toast_bytes,table=blobs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=cloud_sources,8192.00000000,a,b,c
postgres_table_toast_bytes,table=cluster_cve_edges,8192.00000000,a,b,c
postgres_table_toast_bytes,table=cluster_cves,8192.00000000,a,b,c
postgres_table_toast_bytes,table=cluster_health_statuses,8192.00000000,a,b,c
postgres_table_toast_bytes,table=cluster_init_bundles,8192.00000000,a,b,c
postgres_table_toast_bytes,table=clusters,8192.00000000,a,b,c
postgres_table_toast_bytes,table=collections,8192.00000000,a,b,c
postgres_table_toast_bytes,table=collections_embedded_collections,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_configs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_domains,98304.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_integrations,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_check_result_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_check_results,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_cluster_scan_config_statuses,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_profile_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_profile_v2_rules,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_profiles,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_rule_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_rule_v2_controls,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_rules,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_scan_configuration_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_scan_configuration_v2_clusters,0.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_scan_configuration_v2_profiles,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_scan_setting_binding_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_scan_setting_bindings,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_scan_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_scans,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_operator_suite_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_run_metadata,8192.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_run_results,147456.00000000,a,b,c
postgres_table_toast_bytes,table=compliance_strings,163840.00000000,a,b,c
postgres_table_toast_bytes,table=configs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=declarative_config_healths,8192.00000000,a,b,c
postgres_table_toast_bytes,table=delegated_registry_configs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=deployments,180224.00000000,a,b,c
postgres_table_toast_bytes,table=deployments_containers,8192.00000000,a,b,c
postgres_table_toast_bytes,table=deployments_containers_envs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=deployments_containers_secrets,8192.00000000,a,b,c
postgres_table_toast_bytes,table=deployments_containers_volumes,8192.00000000,a,b,c
postgres_table_toast_bytes,table=deployments_ports,8192.00000000,a,b,c
postgres_table_toast_bytes,table=deployments_ports_exposure_infos,8192.00000000,a,b,c
postgres_table_toast_bytes,table=discovered_clusters,8192.00000000,a,b,c
postgres_table_toast_bytes,table=external_backups,8192.00000000,a,b,c
postgres_table_toast_bytes,table=groups,8192.00000000,a,b,c
postgres_table_toast_bytes,table=hashes,172032.00000000,a,b,c
postgres_table_toast_bytes,table=image_component_cve_edges,8192.00000000,a,b,c
postgres_table_toast_bytes,table=image_component_edges,8192.00000000,a,b,c
postgres_table_toast_bytes,table=image_components,8192.00000000,a,b,c
postgres_table_toast_bytes,table=image_cve_edges,8192.00000000,a,b,c
postgres_table_toast_bytes,table=image_cves,81920.00000000,a,b,c
postgres_table_toast_bytes,table=image_integrations,81920.00000000,a,b,c
postgres_table_toast_bytes,table=images,901120.00000000,a,b,c
postgres_table_toast_bytes,table=images_layers,8192.00000000,a,b,c
postgres_table_toast_bytes,table=installation_infos,8192.00000000,a,b,c
postgres_table_toast_bytes,table=integration_healths,8192.00000000,a,b,c
postgres_table_toast_bytes,table=k8s_roles,8192.00000000,a,b,c
postgres_table_toast_bytes,table=listening_endpoints,8192.00000000,a,b,c
postgres_table_toast_bytes,table=log_imbues,8192.00000000,a,b,c
postgres_table_toast_bytes,table=namespaces,8192.00000000,a,b,c
postgres_table_toast_bytes,table=network_baselines,8192.00000000,a,b,c
postgres_table_toast_bytes,table=network_entities,8192.00000000,a,b,c
postgres_table_toast_bytes,table=network_flows_v2,32768.00000000,a,b,c
postgres_table_toast_bytes,table=network_graph_configs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=networkpolicies,8192.00000000,a,b,c
postgres_table_toast_bytes,table=networkpoliciesundodeployments,8192.00000000,a,b,c
postgres_table_toast_bytes,table=networkpolicyapplicationundorecords,73728.00000000,a,b,c
postgres_table_toast_bytes,table=node_component_edges,8192.00000000,a,b,c
postgres_table_toast_bytes,table=node_components,8192.00000000,a,b,c
postgres_table_toast_bytes,table=node_components_cves_edges,8192.00000000,a,b,c
postgres_table_toast_bytes,table=node_cves,8192.00000000,a,b,c
postgres_table_toast_bytes,table=nodes,57344.00000000,a,b,c
postgres_table_toast_bytes,table=nodes_taints,8192.00000000,a,b,c
postgres_table_toast_bytes,table=notification_schedules,8192.00000000,a,b,c
postgres_table_toast_bytes,table=notifier_enc_configs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=notifiers,8192.00000000,a,b,c
postgres_table_toast_bytes,table=permission_sets,8192.00000000,a,b,c
postgres_table_toast_bytes,table=pods,8192.00000000,a,b,c
postgres_table_toast_bytes,table=pods_live_instances,8192.00000000,a,b,c
postgres_table_toast_bytes,table=policies,57344.00000000,a,b,c
postgres_table_toast_bytes,table=policy_categories,8192.00000000,a,b,c
postgres_table_toast_bytes,table=policy_category_edges,8192.00000000,a,b,c
postgres_table_toast_bytes,table=process_baseline_results,8192.00000000,a,b,c
postgres_table_toast_bytes,table=process_baselines,8192.00000000,a,b,c
postgres_table_toast_bytes,table=process_indicators,57344.00000000,a,b,c
postgres_table_toast_bytes,table=report_configurations,8192.00000000,a,b,c
postgres_table_toast_bytes,table=report_configurations_notifiers,8192.00000000,a,b,c
postgres_table_toast_bytes,table=report_snapshots,8192.00000000,a,b,c
postgres_table_toast_bytes,table=risks,24576.00000000,a,b,c
postgres_table_toast_bytes,table=role_bindings,8192.00000000,a,b,c
postgres_table_toast_bytes,table=role_bindings_subjects,8192.00000000,a,b,c
postgres_table_toast_bytes,table=roles,8192.00000000,a,b,c
postgres_table_toast_bytes,table=secrets,8192.00000000,a,b,c
postgres_table_toast_bytes,table=secrets_files,0.00000000,a,b,c
postgres_table_toast_bytes,table=secrets_files_registries,8192.00000000,a,b,c
postgres_table_toast_bytes,table=secured_units,8192.00000000,a,b,c
postgres_table_toast_bytes,table=sensor_upgrade_configs,8192.00000000,a,b,c
postgres_table_toast_bytes,table=service_accounts,8192.00000000,a,b,c
postgres_table_toast_bytes,table=service_identities,8192.00000000,a,b,c
postgres_table_toast_bytes,table=signature_integrations,8192.00000000,a,b,c
postgres_table_toast_bytes,table=simple_access_scopes,8192.00000000,a,b,c
postgres_table_toast_bytes,table=system_infos,8192.00000000,a,b,c
postgres_table_toast_bytes,table=versions,8192.00000000,a,b,c
postgres_table_toast_bytes,table=vulnerability_requests,8192.00000000,a,b,c
postgres_table_toast_bytes,table=vulnerability_requests_approvers,8192.00000000,a,b,c
postgres_table_toast_bytes,table=vulnerability_requests_approvers_v2,8192.00000000,a,b,c
postgres_table_toast_bytes,table=vulnerability_requests_comments,8192.00000000,a,b,c
postgres_table_toast_bytes,table=watched_images,8192.00000000,a,b,c
postgres_table_total_bytes,table=active_components,163840.00000000,a,b,c
postgres_table_total_bytes,table=active_components_active_contexts_slices,122880.00000000,a,b,c
postgres_table_total_bytes,table=administration_events,65536.00000000,a,b,c
postgres_table_total_bytes,table=alerts,6643712.00000000,a,b,c
postgres_table_total_bytes,table=api_tokens,73728.00000000,a,b,c
postgres_table_total_bytes,table=auth_machine_to_machine_configs,24576.00000000,a,b,c
postgres_table_total_bytes,table=auth_machine_to_machine_configs_mappings,24576.00000000,a,b,c
postgres_table_total_bytes,table=auth_providers,49152.00000000,a,b,c
postgres_table_total_bytes,table=blobs,32768.00000000,a,b,c
postgres_table_total_bytes,table=cloud_sources,49152.00000000,a,b,c
postgres_table_total_bytes,table=cluster_cve_edges,65536.00000000,a,b,c
postgres_table_total_bytes,table=cluster_cves,114688.00000000,a,b,c
postgres_table_total_bytes,table=cluster_health_statuses,32768.00000000,a,b,c
postgres_table_total_bytes,table=cluster_init_bundles,32768.00000000,a,b,c
postgres_table_total_bytes,table=clusters,147456.00000000,a,b,c
postgres_table_total_bytes,table=collections,24576.00000000,a,b,c
postgres_table_total_bytes,table=collections_embedded_collections,24576.00000000,a,b,c
postgres_table_total_bytes,table=compliance_configs,16384.00000000,a,b,c
postgres_table_total_bytes,table=compliance_domains,122880.00000000,a,b,c
postgres_table_total_bytes,table=compliance_integrations,81920.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_check_result_v2,49152.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_check_results,16384.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_cluster_scan_config_statuses,49152.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_profile_v2,49152.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_profile_v2_rules,24576.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_profiles,16384.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_rule_v2,49152.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_rule_v2_controls,24576.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_rules,16384.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_scan_configuration_v2,24576.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_scan_configuration_v2_clusters,65536.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_scan_configuration_v2_profiles,24576.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_scan_setting_binding_v2,49152.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_scan_setting_bindings,16384.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_scan_v2,49152.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_scans,16384.00000000,a,b,c
postgres_table_total_bytes,table=compliance_operator_suite_v2,49152.00000000,a,b,c
postgres_table_total_bytes,table=compliance_run_metadata,98304.00000000,a,b,c
postgres_table_total_bytes,table=compliance_run_results,237568.00000000,a,b,c
postgres_table_total_bytes,table=compliance_strings,221184.00000000,a,b,c
postgres_table_total_bytes,table=configs,16384.00000000,a,b,c
postgres_table_total_bytes,table=declarative_config_healths,32768.00000000,a,b,c
postgres_table_total_bytes,table=delegated_registry_configs,8192.00000000,a,b,c
postgres_table_total_bytes,table=deployments,434176.00000000,a,b,c
postgres_table_total_bytes,table=deployments_containers,188416.00000000,a,b,c
postgres_table_total_bytes,table=deployments_containers_envs,294912.00000000,a,b,c
postgres_table_total_bytes,table=deployments_containers_secrets,81920.00000000,a,b,c
postgres_table_total_bytes,table=deployments_containers_volumes,745472.00000000,a,b,c
postgres_table_total_bytes,table=deployments_ports,81920.00000000,a,b,c
postgres_table_total_bytes,table=deployments_ports_exposure_infos,81920.00000000,a,b,c
postgres_table_total_bytes,table=discovered_clusters,32768.00000000,a,b,c
postgres_table_total_bytes,table=external_backups,16384.00000000,a,b,c
postgres_table_total_bytes,table=groups,49152.00000000,a,b,c
postgres_table_total_bytes,table=hashes,229376.00000000,a,b,c
postgres_table_total_bytes,table=image_component_cve_edges,6217728.00000000,a,b,c
postgres_table_total_bytes,table=image_component_edges,3702784.00000000,a,b,c
postgres_table_total_bytes,table=image_components,1015808.00000000,a,b,c
postgres_table_total_bytes,table=image_cve_edges,8478720.00000000,a,b,c
postgres_table_total_bytes,table=image_cves,7520256.00000000,a,b,c
postgres_table_total_bytes,table=image_integrations,139264.00000000,a,b,c
postgres_table_total_bytes,table=images,1081344.00000000,a,b,c
postgres_table_total_bytes,table=images_layers,655360.00000000,a,b,c
postgres_table_total_bytes,table=installation_infos,16384.00000000,a,b,c
postgres_table_total_bytes,table=integration_healths,65536.00000000,a,b,c
postgres_table_total_bytes,table=k8s_roles,450560.00000000,a,b,c
postgres_table_total_bytes,table=listening_endpoints,237568.00000000,a,b,c
postgres_table_total_bytes,table=log_imbues,16384.00000000,a,b,c
postgres_table_total_bytes,table=namespaces,49152.00000000,a,b,c
postgres_table_total_bytes,table=network_baselines,90112.00000000,a,b,c
postgres_table_total_bytes,table=network_entities,11509760.00000000,a,b,c
postgres_table_total_bytes,table=network_flows_v2,811008.00000000,a,b,c
postgres_table_total_bytes,table=network_graph_configs,32768.00000000,a,b,c
postgres_table_total_bytes,table=networkpolicies,294912.00000000,a,b,c
postgres_table_total_bytes,table=networkpoliciesundodeployments,16384.00000000,a,b,c
postgres_table_total_bytes,table=networkpolicyapplicationundorecords,98304.00000000,a,b,c
postgres_table_total_bytes,table=node_component_edges,147456.00000000,a,b,c
postgres_table_total_bytes,table=node_components,65536.00000000,a,b,c
postgres_table_total_bytes,table=node_components_cves_edges,81920.00000000,a,b,c
postgres_table_total_bytes,table=node_cves,49152.00000000,a,b,c
postgres_table_total_bytes,table=nodes,196608.00000000,a,b,c
postgres_table_total_bytes,table=nodes_taints,24576.00000000,a,b,c
postgres_table_total_bytes,table=notification_schedules,16384.00000000,a,b,c
postgres_table_total_bytes,table=notifier_enc_configs,8192.00000000,a,b,c
postgres_table_total_bytes,table=notifiers,49152.00000000,a,b,c
postgres_table_total_bytes,table=permission_sets,81920.00000000,a,b,c
postgres_table_total_bytes,table=pods,262144.00000000,a,b,c
postgres_table_total_bytes,table=pods_live_instances,270336.00000000,a,b,c
postgres_table_total_bytes,table=policies,360448.00000000,a,b,c
postgres_table_total_bytes,table=policy_categories,49152.00000000,a,b,c
postgres_table_total_bytes,table=policy_category_edges,114688.00000000,a,b,c
postgres_table_total_bytes,table=process_baseline_results,122880.00000000,a,b,c
postgres_table_total_bytes,table=process_baselines,163840.00000000,a,b,c
postgres_table_total_bytes,table=process_indicators,622592.00000000,a,b,c
postgres_table_total_bytes,table=report_configurations,16384.00000000,a,b,c
postgres_table_total_bytes,table=report_configurations_notifiers,24576.00000000,a,b,c
postgres_table_total_bytes,table=report_snapshots,16384.00000000,a,b,c
postgres_table_total_bytes,table=risks,999424.00000000,a,b,c
postgres_table_total_bytes,table=role_bindings,1138688.00000000,a,b,c
postgres_table_total_bytes,table=role_bindings_subjects,139264.00000000,a,b,c
postgres_table_total_bytes,table=roles,32768.00000000,a,b,c
postgres_table_total_bytes,table=secrets,106496.00000000,a,b,c
postgres_table_total_bytes,table=secrets_files,73728.00000000,a,b,c
postgres_table_total_bytes,table=secrets_files_registries,49152.00000000,a,b,c
postgres_table_total_bytes,table=secured_units,49152.00000000,a,b,c
postgres_table_total_bytes,table=sensor_upgrade_configs,16384.00000000,a,b,c
postgres_table_total_bytes,table=service_accounts,294912.00000000,a,b,c
postgres_table_total_bytes,table=service_identities,32768.00000000,a,b,c
postgres_table_total_bytes,table=signature_integrations,49152.00000000,a,b,c
postgres_table_total_bytes,table=simple_access_scopes,49152.00000000,a,b,c
postgres_table_total_bytes,table=system_infos,8192.00000000,a,b,c
postgres_table_total_bytes,table=versions,16384.00000000,a,b,c
postgres_table_total_bytes,table=vulnerability_requests,24576.00000000,a,b,c
postgres_table_total_bytes,table=vulnerability_requests_approvers,24576.00000000,a,b,c
postgres_table_total_bytes,table=vulnerability_requests_approvers_v2,24576.00000000,a,b,c
postgres_table_total_bytes,table=vulnerability_requests_comments,24576.00000000,a,b,c
postgres_table_total_bytes,table=watched_images,16384.00000000,a,b,c
postgres_total_connections,state=active,1.00000000,a,b,c
postgres_total_connections,state=idle,9.00000000,a,b,c
postgres_total_connections,state=idle in transaction,0.00000000,a,b,c
postgres_total_size_bytes,,94537828.00000000,a,b,c
process_cpu_nr_periods,,22629.00000000,a,b,c
process_cpu_nr_throttled,,0.00000000,a,b,c
process_cpu_seconds_total,,198.62000000,a,b,c
process_cpu_throttled_time,,0.00000000,a,b,c
process_filter,Type=Added,2000.00000000,a,b,c
process_filter,Type=NotAdded,19.00000000,a,b,c
process_max_fds,,1048576.00000000,a,b,c
process_open_fds,,381.00000000,a,b,c
process_pruning_cache_hits,,0.00000000,a,b,c
process_pruning_cache_misses,,0.00000000,a,b,c
process_queue_length,,0.00000000,a,b,c
process_resident_memory_bytes,,394780672.00000000,a,b,c
process_start_time_seconds,,1713458130.42000008,a,b,c
process_virtual_memory_bytes,,6839328768.00000000,a,b,c
process_virtual_memory_max_bytes,,18446744073709551616.00000000,a,b,c
pruned_process_indicators,,0.00000000,a,b,c
reprocessor_duration_seconds,,2.60497792,a,b,c
resource_processed_count,Operation=Add Resource=Alert,394.00000000,a,b,c
resource_processed_count,Operation=Add Resource=ComplianceOperatorInfo,246.00000000,a,b,c
resource_processed_count,Operation=Add Resource=Deployment,174.00000000,a,b,c
resource_processed_count,Operation=Add Resource=DeploymentReprocess,767.00000000,a,b,c
resource_processed_count,Operation=Add Resource=ImageIntegration,48.00000000,a,b,c
resource_processed_count,Operation=Add Resource=Namespace,14.00000000,a,b,c
resource_processed_count,Operation=Add Resource=NetworkPolicy,231.00000000,a,b,c
resource_processed_count,Operation=Add Resource=Pod,207.00000000,a,b,c
resource_processed_count,Operation=Add Resource=ProcessIndicator,2019.00000000,a,b,c
resource_processed_count,Operation=Add Resource=ProcessListeningOnPort,44.00000000,a,b,c
resource_processed_count,Operation=Add Resource=Role,6.00000000,a,b,c
resource_processed_count,Operation=Add Resource=RoleBinding,5.00000000,a,b,c
resource_processed_count,Operation=Add Resource=Secret,79.00000000,a,b,c
resource_processed_count,Operation=Add Resource=ServiceAccount,19.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=Alert,168.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=Deployment,173.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=ImageIntegration,18.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=Namespace,13.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=NetworkPolicy,137.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=Pod,207.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=Role,6.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=RoleBinding,4.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=Secret,73.00000000,a,b,c
resource_processed_count,Operation=Remove Resource=ServiceAccount,18.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=Alert,49.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=Deployment,49.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=ImageIntegration,4.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=Namespace,7.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=NetworkPolicy,7.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=Node,3.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=Pod,54.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=Role,140.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=RoleBinding,131.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=Secret,20.00000000,a,b,c
resource_processed_count,Operation=Sync Resource=ServiceAccount,62.00000000,a,b,c
resource_processed_count,Operation=Update Resource=Alert,1431.00000000,a,b,c
resource_processed_count,Operation=Update Resource=Deployment,264.00000000,a,b,c
resource_processed_count,Operation=Update Resource=Namespace,2.00000000,a,b,c
resource_processed_count,Operation=Update Resource=Pod,959.00000000,a,b,c
resource_processed_count,Operation=Update Resource=RoleBinding,3.00000000,a,b,c
resource_processed_count,Operation=Update Resource=Secret,7.00000000,a,b,c
resource_processed_count,Operation=Update Resource=ServiceAccount,24.00000000,a,b,c
risk_processing_duration,Risk_Reprocessor=Deployment,19.15886473,a,b,c
risk_processing_duration,Risk_Reprocessor=Image,23.14551499,a,b,c
risk_processing_duration,Risk_Reprocessor=ImageComponent,0.05337254,a,b,c
risk_processing_duration,Risk_Reprocessor=Node,64.18856467,a,b,c
scan_duration,Error=false Scanner=Stackrox Scanner,5221.23195288,a,b,c
scan_duration,Error=false Scanner=gcr,459.00540137,a,b,c
secured_clusters,branding=RHACS build=internal central_id=59137597-0c84-4a45-bfb1-e9ae12b38ca3 central_version=4.4.x-408-gcce8223eaa hosting=self-managed install_method=manifest,1.00000000,a,b,c
secured_nodes,branding=RHACS build=internal central_id=59137597-0c84-4a45-bfb1-e9ae12b38ca3 central_version=4.4.x-408-gcce8223eaa hosting=self-managed install_method=manifest,3.00000000,a,b,c
secured_vcpus,branding=RHACS build=internal central_id=59137597-0c84-4a45-bfb1-e9ae12b38ca3 central_version=4.4.x-408-gcce8223eaa hosting=self-managed install_method=manifest,12.00000000,a,b,c
sensor_connected,ClusterID=d0526792-67ad-448c-adf6-9a5ca731644e connection_state=STARTUP,2.00000000,a,b,c
sensor_event_deduper,status=deduped type=AlertResults,2.00000000,a,b,c
sensor_event_deduper,status=passed type=AlertResults,2042.00000000,a,b,c
sensor_event_deduper,status=passed type=Binding,143.00000000,a,b,c
sensor_event_deduper,status=passed type=Deployment,665.00000000,a,b,c
sensor_event_deduper,status=passed type=ImageIntegration,70.00000000,a,b,c
sensor_event_deduper,status=passed type=Namespace,36.00000000,a,b,c
sensor_event_deduper,status=passed type=NetworkPolicy,375.00000000,a,b,c
sensor_event_deduper,status=passed type=Node,3.00000000,a,b,c
sensor_event_deduper,status=passed type=Pod,1437.00000000,a,b,c
sensor_event_deduper,status=passed type=ProcessIndicator,2019.00000000,a,b,c
sensor_event_deduper,status=passed type=ReprocessDeployment,767.00000000,a,b,c
sensor_event_deduper,status=passed type=Role,152.00000000,a,b,c
sensor_event_deduper,status=passed type=Secret,179.00000000,a,b,c
sensor_event_deduper,status=passed type=ServiceAccount,123.00000000,a,b,c
sensor_event_duration,Action=CREATE_RESOURCE Type=AlertResults,11.23364032,a,b,c
sensor_event_duration,Action=CREATE_RESOURCE Type=Binding,3.12175220,a,b,c
sensor_event_duration,Action=CREATE_RESOURCE Type=Deployment,5.26980947,a,b,c
sensor_event_duration,Action=CREATE_RESOURCE Type=ImageIntegration,142.13198150,a,b,c
sensor_event_duration,Action=CREATE_RESOURCE Type=Namespace,3.30371379,a,b,c
